APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;ARAGUARIMG;MG;Araguari;Araguari;512
AGUA CLARAMS;MS;Agua Clara;ARAGUARIMG;MG;Araguari;Araguari;832
AMAMBAIPK183MS;MS;Amambai;ARAGUARIMG;MG;Araguari;Araguari;1.207
ANHEMBISP;SP;Anhembi;ARAGUARIMG;MG;Araguari;Araguari;0
ARACATUBASP;SP;Aracatuba;ARAGUARIMG;MG;Araguari;Araguari;736
ARAGUARIMG;MG;Araguari;ARAGUARIMG;MG;Araguari;Araguari;70
BARCARENAPA;PA;Barcarena;ARAGUARIMG;MG;Araguari;Araguari;0
BARRA BONITASP;SP;Barra Bonita;ARAGUARIMG;MG;Araguari;Araguari;0
BOISPK175GO;GO;Inaciolandia;ARAGUARIMG;MG;Araguari;Araguari;456
BORBOREMASP;SP;Borborema;ARAGUARIMG;MG;Araguari;Araguari;676
BURITAMASP;SP;Buritama;ARAGUARIMG;MG;Araguari;Araguari;0
CASTELANDIAGO;GO;Castelandia;ARAGUARIMG;MG;Araguari;Araguari;355
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;ARAGUARIMG;MG;Araguari;Araguari;0
GUAIRAPR;PR;Guaira;ARAGUARIMG;MG;Araguari;Araguari;1.115
IBITINGASP;SP;Ibitinga;ARAGUARIMG;MG;Araguari;Araguari;936
INOCENCIAMS;MS;Inocencia;ARAGUARIMG;MG;Araguari;Araguari;726
ITAITUBAPA;PA;Itaituba;ARAGUARIMG;MG;Araguari;Araguari;0
ITUMBIARAGO;GO;Itumbiara;ARAGUARIMG;MG;Araguari;Araguari;142
ITURAMAMG;MG;Iturama;ARAGUARIMG;MG;Araguari;Araguari;0
IVINHEMAMS;MS;Ivinhema;ARAGUARIMG;MG;Araguari;Araguari;1.072
JUSSARAPR;PR;Jussara;ARAGUARIMG;MG;Araguari;Araguari;1.231
JUTIMS;MS;Juti;ARAGUARIMG;MG;Araguari;Araguari;1.130
MARACAJUMS;MS;Maracaju;ARAGUARIMG;MG;Araguari;Araguari;1.349
NAVIRAIMS;MS;Navirai;ARAGUARIMG;MG;Araguari;Araguari;1.120
PANORAMASP;SP;Panorama;ARAGUARIMG;MG;Araguari;Araguari;713
PARDOPK214MS;MS;Santa Rita do Pardo;ARAGUARIMG;MG;Araguari;Araguari;976
PEREIRA BARRETOSP;SP;Pereira Barreto;ARAGUARIMG;MG;Araguari;Araguari;730
PEDERNEIRASSP;SP;Pederneiras;ARAGUARIMG;MG;Araguari;Araguari;0
PORTO RICOPR;PR;Porto Rico;ARAGUARIMG;MG;Araguari;Araguari;0
PORTO VELHORO;RO;Porto Velho;ARAGUARIMG;MG;Araguari;Araguari;0
PRESIDENTE EPITACIOSP;SP;Presidente Epitacio;ARAGUARIMG;MG;Araguari;Araguari;771
RIO BRILHANTEMS;MS;Rio Brilhante;ARAGUARIMG;MG;Araguari;Araguari;1.249
ROSANASP;SP;Rosana;ARAGUARIMG;MG;Araguari;Araguari;890
SABINOSP;SP;Sabino;ARAGUARIMG;MG;Araguari;Araguari;804
SANTA HELENAPR;PR;Santa Helena;ARAGUARIMG;MG;Araguari;Araguari;0
SAO SIMAOGO;GO;Sao Simao;ARAGUARIMG;MG;Araguari;Araguari;375
SUCURIUPK170MS;MS;Alto Sucuriu;ARAGUARIMG;MG;Araguari;Araguari;799
TEODORO SAMPAIOSP;SP;Teodoro Sampaio;ARAGUARIMG;MG;Araguari;Araguari;1.025
TRES LAGOASMS;MS;Tres Lagoas;ARAGUARIMG;MG;Araguari;Araguari;636
UBARANASP;SP;Ubarana;ARAGUARIMG;MG;Araguari;Araguari;0
APARECIDA DO TABOADOMS;MS;Aparecida do Taboado;ANHEMBISP;SP;Anhembi;Anhembi;640
AGUA CLARAMS;MS;Agua Clara;ANHEMBISP;SP;Anhembi;Anhembi;777
AMAMBAIPK183MS;MS;Amambai;ANHEMBISP;SP;Anhembi;Anhembi;1.152
ANHEMBISP;SP;Anhembi;ANHEMBISP;SP;Anhembi;Anhembi;0
ARACATUBASP;SP;Aracatuba;ANHEMBISP;SP;Anhembi;Anhembi;421
ARAGUARIMG;MG;Araguari;ANHEMBISP;SP;Anhembi;Anhembi;1.205
BARCARENAPA;PA;Barcarena;ANHEMBISP;SP;Anhembi;Anhembi;0
BARRA BONITASP;SP;Barra Bonita;ANHEMBISP;SP;Anhembi;Anhembi;72
BOISPK175GO;GO;Inaciolandia;ANHEMBISP;SP;Anhembi;Anhembi;1.085
BORBOREMASP;SP;Borborema;ANHEMBISP;SP;Anhembi;Anhembi;246
BURITAMASP;SP;Buritama;ANHEMBISP;SP;Anhembi;Anhembi;377
CASTELANDIAGO;GO;Castelandia;ANHEMBISP;SP;Anhembi;Anhembi;984
EUCLIDES DA CUNHA PAULISTASP;SP;Euclides da Cunha Paulista;ANHEMBISP;SP;Anhembi;Anhembi;919
GUAIRAPR;PR;Guaira;ANHEMBISP;SP;Anhembi;Anhembi;1.060
IBITINGASP;SP;Ibitinga;ANHEMBISP;SP;Anhembi;Anhembi;196
INOCENCIAMS;MS;Inocencia;ANHEMBISP;SP;Anhembi;Anhembi;671
ITAITUBAPA;PA;Itaituba;ANHEMBISP;SP;Anhembi;Anhembi;0
ITUMBIARAGO;GO;Itumbiara;ANHEMBISP;SP;Anhembi;Anhembi;983
ITURAMAMG;MG;Iturama;ANHEMBISP;SP;Anhembi;Anhembi;103
IVINHEMAMS;MS;Ivinhema;ANHEMBISP;SP;Anhembi;Anhembi;1.017
JUSSARAPR;PR;Jussara;ANHEMBISP;SP;Anhembi;Anhembi;1.176
JUTIMS;MS;Juti;ANHEMBISP;SP;Anhembi;Anhembi;1.075
MARACAJUMS;MS;Maracaju;ANHEMBISP;SP;Anhembi;Anhembi;1.294
NAVIRAIMS;MS;Navirai;ANHEMBISP;SP;Anhembi;Anhembi;978
PANORAMASP;SP;Panorama;ANHEMBISP;SP;Anhembi;Anhembi;646
PARDOPK214MS;MS;Santa Rita do Pardo;ANHEMBISP;SP;Anhembi;Anhembi;910
PEREIRA BARRETOSP;SP;Pereira Barreto;ANHEMBISP;SP;Anhembi;Anhembi;481
PEDERNEIRASSP;SP;Pederneiras;ANHEMBISP;SP;Anhembi;Anhembi;105
PORTO RICOPR;PR;Porto Rico;ANHEMBISP;SP;Anhembi;Anhembi;881
