UF_id;UF;Nome_UF;Nome_Microrregiao;Codigo Municipio Completo;Nome_Municipio;Codigo de Distrito Completo;Nome_Distrito;;;;
11;RO;Rondonia;Cacoal;1100015;Alta Floresta D Oeste;110001505;Alta Floresta D Oeste;;;;
11;RO;Rondonia;Cacoal;1100015;Alta Floresta D Oeste;110001515;Filadelfia d Oeste;;;;
11;RO;Rondonia;Cacoal;1100015;Alta Floresta D Oeste;110001520;Izidolandia;;;;
11;RO;Rondonia;Cacoal;1100015;Alta Floresta D Oeste;110001525;Nova Gease d Oeste;;;;
11;RO;Rondonia;Cacoal;1100015;Alta Floresta D Oeste;110001530;Rolim de Moura do Guapore;;;;
11;RO;Rondonia;Cacoal;1100015;Alta Floresta D Oeste;110001535;Santo Antonio d Oeste;;;;
11;RO;Rondonia;Cacoal;1100379;Alto Alegre dos Parecis;110037905;Alto Alegre dos Parecis;;;;
11;RO;Rondonia;Ariquemes;1100403;Alto Paraiso;110040305;Alto Paraiso;;;;
11;RO;Rondonia;Alvorada D Oeste;1100346;Alvorada D Oeste;110034605;Alvorada D Oeste;;;;
11;RO;Rondonia;Alvorada D Oeste;1100346;Alvorada D Oeste;110034625;Tancredopolis;;;;
11;RO;Rondonia;Alvorada D Oeste;1100346;Alvorada D Oeste;110034630;Terra Boa;;;;
11;RO;Rondonia;Ariquemes;1100023;Ariquemes;110002305;Ariquemes;;;;
11;RO;Rondonia;Porto Velho;1100452;Buritis;110045205;Buritis;;;;
11;RO;Rondonia;Colorado do Oeste;1100031;Cabixi;110003105;Cabixi;;;;
11;RO;Rondonia;Ariquemes;1100601;Cacaulandia;110060105;Cacaulandia;;;;
11;RO;Rondonia;Cacoal;1100049;Cacoal;110004905;Cacoal;;;;
11;RO;Rondonia;Cacoal;1100049;Cacoal;110004910;Riozinho;;;;
11;RO;Rondonia;Porto Velho;1100700;Campo Novo de Rondonia;110070005;Campo Novo de Rondonia;;;;
11;RO;Rondonia;Porto Velho;1100809;Candeias do Jamari;110080905;Candeias do Jamari;;;;
11;RO;Rondonia;Porto Velho;1100809;Candeias do Jamari;110080920;Rio Preto do Candeias;;;;
